,molecule_id,smiles,target_core,vs1,vdelta
34,chromo1093,COc1ccc(C#Cc2c3ccccc3c3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,0,2.3715,1.2872
35,chromo2226,c1ccc2c(-c3ccc4sc5ccccc5c4c3)c3ccccc3cc2c1,1,3.1891,1.4249999999999998
36,chromo2445,CCN(CC)c1ccc(-c2cc3c(s2)c(C(=O)OC)cc(=O)n3C)cc1,1,2.7947,0.9812000000000004
37,chromo0499,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C1C(c2ccccc2)CC(O)(c2ccccn2)CC1(O)c1ccccn1,1,3.3336,0.8138000000000001
38,chromo4207,Cc1cccc(C)c1N1C(c2ccccc2)=Cc2ccc3ccccc3[n+]2[B-]1(F)F,0,3.1038,0.9934000000000004
39,chromo2534,CN(C)c1ccc(C2=Nc3scc[n+]3[B-](F)(F)O2)cc1,0,3.41,0.8997000000000002
40,chromo6109,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3ccccc3nc12)(C(C)C)C(C)C,0,1.9785,1.1225
41,chromo4067,COc1cc(OC)cc(-c2nnc(-c3cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)c3)o2)c1,1,3.5467,0.9627
42,chromo2367,CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1,0,3.2696,0.8121
43,chromo3072,CN(C)c1cc(-c2ccccc2)cc2ccccc12,1,3.7324,1.2202000000000002
44,chromo4629,O=C(NCc1ccccc1)c1sc(-c2ccc(-c3cc(C4CC4)c(C(=O)NCc4ccccc4)s3)s2)cc1C1CC1,1,2.9857,1.1684
45,chromo6345,COC(=O)c1[nH]c(-c2ccccc2)c2nnc3c4ccccc4oc3c12,0,3.1826,1.2253999999999998
46,chromo0996,Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(C#Cc4ccccc4)ccc32)cc1,1,2.2191,1.0468000000000002
47,chromo0501,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C1C(c2ccc(F)cc2)CC(O)(c2ccccn2)CC1(O)c1ccccn1,1,3.1883,0.706
48,chromo4152,CCC1(CC)c2cc(C=Cc3cc(Br)c(C=Cc4ccc5c(c4)C(CC)(CC)c4cc(N6c7ccccc7Sc7ccccc76)ccc4-5)cc3Br)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21,0,2.3475,0.5699000000000001
49,chromo4169,CCN1c2ccc(C=NNc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21,0,3.029,0.7915999999999999
50,chromo3326,CCc1ccc(C=Nc2cc(C(C)C)c(O)cc2C)cc1,1,3.4114,0.9977
51,chromo5513,CC(C)[Si]1(C(C)C)c2cc(C=C(C#N)C#N)ccc2-c2ccc(N(C)C)cc21,0,2.6366,0.8204
52,chromo6518,COc1ccc(O)c(-c2[nH]c(=O)n3c2-c2ccccc2C3=O)c1,0,3.1344,1.1806
53,chromo1632,COc1ccc(-c2cc(-c3ccc(OC)cc3)c3c(N)nc(N4CCCC4)c(C#N)c3n2)cc1,0,2.9417,0.5827999999999998
54,chromo6777,CCCCCCCC(CCCCCCC)N1C(=O)c2c(Br)cc3c4cc(Br)c5c6c(c(Br)cc(c7cc(Br)c(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,0,2.4932,1.088
55,chromo3410,COc1ccc(C(=O)C=C2C(=O)Nc3ccccc32)cc1,0,3.3287,1.0630000000000002
56,chromo1218,O=c1c2cc(F)ccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,0,3.015,0.7723
57,chromo1536,Cc1ccc(C(=O)NN2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1,0,3.4139,0.9558
58,chromo0505,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccc(C(C)(C)c5ccccc5)cc4)ccc(c23)C1=O,0,3.4354,1.1458
59,chromo2613,N#CC(C#N)=Cc1ccc2c(c1)c1ccccc1n2-c1cc2ccccc2c2ccccc12,1,3.1709,0.995
60,chromo4906,c1ccc2cc(-c3c4ccccc4c(-c4ccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc4)c4ccccc34)ccc2c1,1,3.1282,1.396
61,chromo6274,COc1ccc(-c2cccc3ncc(-c4ccccc4)n23)cc1,0,3.6343,1.035
62,chromo6175,CN(C)c1ccc(C2=CC3=C(c4ccc([N+](=O)[O-])cc4)C4c5ccccc5C3(S2)c2ccccc24)cc1,0,2.3932,0.8078000000000003
63,chromo0408,CCCCCCC1(CCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)cc21,0,3.6138,0.9211999999999998
64,chromo4054,Cc1c(C)c(-c2ccc(-c3cccnc3)cc2)c(C)c(C)c1B(c1c(C)c(C)c(-c2ccc(-c3cccnc3)cc2)c(C)c1C)c1c(C)c(C)c(-c2ccc(-c3cccnc3)cc2)c(C)c1C,1,3.6915,0.5329000000000002
65,chromo5921,CN(C)c1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)nn2C)cc1,1,4.0485,0.9661
66,chromo0969,COC(=O)C(Cc1ccc2oc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)nc2c1)NC(=O)OC(C)(C)C,1,3.7492,0.9635000000000002
67,chromo2746,COc1ccc(C=CC2=[O+][B-](F)(F)OC(C=Cc3ccc(OC)cc3)=C2c2ccccc2)cc1,1,2.8309,0.9310000000000004
68,chromo6753,O=c1c2cccc3cccc(c32)c2nc3ccccc3n12,0,2.9725,0.9798000000000002
69,chromo2437,COC(=O)c1cc(=O)n(C)c2cc(-c3ccc4c(c3)OCCO4)sc12,1,3.0229,1.1338
70,chromo5569,CCc1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(c3ccc[nH]3)c3ccccc3C1=C2C,0,2.4244,1.2035999999999998
71,chromo4758,C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,1,2.8646,0.8508
72,chromo0065,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,0,3.1971,1.0204
73,chromo3414,O=C1Nc2ccccc2C1=CC(=O)c1ccc([N+](=O)[O-])cc1,0,2.9381,0.7572999999999999
74,chromo4074,CC1=CC(c2ccc3cc(N(C)C)ccc3c2)=[O+][B-](F)(F)O1,1,2.9992,0.8104
75,chromo6269,COc1ccc(C#Cc2c3cc4ccccc4cc3c(C#Cc3ccc(OC)cc3)c3cc4sc(C)cc4cc23)cc1,0,1.8018,1.1449
76,chromo1174,Cc1ccc(N2C(c3ccccc3N)=NC(c3ccccc3)C2c2ccccc2)cc1,1,3.9405,0.8946000000000001
77,chromo4178,COc1ccc2nc(N=Nc3ccc(N(C)C)cc3)sc2c1,1,2.6232,1.0195000000000003
78,chromo2361,CC1(C)Nc2cc(Cl)ccc2-c2[nH]c3ccccc3c(=O)c21,0,3.191,0.7603
79,chromo4708,O=Cc1ccc(-c2ccc(O)c(-c3nc4ccccc4s3)c2)o1,1,3.2452,0.9432
80,chromo6642,CCCCCCOc1cc(C=C(C#N)C#N)c(OCCCCCC)cc1C=C(C#N)C#N,1,2.4304,0.9542000000000002
81,chromo2182,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3c4ccccc4c(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)c4nsnc34)cc2)cc1,0,1.8061,0.788
82,chromo3655,COc1c2ccccc2c(-c2ccccc2)c2ccccc12,1,3.1238,1.4091000000000002
83,chromo3415,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,1,3.9004,1.4667
84,chromo2960,Cc1ccc(C#Cc2ccc3ccc4cccc5ccc2c3c45)cc1,1,3.1105,1.2722
85,chromo2521,CCCCCCCCCCCCCCCCCCOC(=O)C=CC1=CC2=C(c3c(C)cc(C)cc3C)c3cccn3[B-](F)(F)[N+]2=C1,1,2.7439,1.1619
86,chromo3377,COc1ccc(C2=CC(c3ccccc3)=C(c3ccccc3)C2)c2ccccc12,1,3.1771,1.2382999999999995
87,chromo0700,CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,1,3.5507,1.5169
88,chromo0780,C[Si]1(C)C(c2ccccc2)=Cc2ccccc21,0,3.6697,1.4813
89,chromo6482,COc1ccc(N(c2ccc(OC)cc2)c2cc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)c3ccc4cc(C(C)(C)C)cc5ccc2c3c54)cc1,1,2.6063,0.7937000000000001
90,chromo4829,c1ccc(-n2nc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)nc2-c2ccccn2)cc1,0,3.0005,0.0591000000000003
91,chromo2560,CCOC(=O)C1c2ccccc2C(=O)N1c1ccc(OC)cc1,0,3.7093,0.6461999999999999
92,chromo0793,COc1ccccc1C#Cc1ccccc1OC,1,3.8216,1.2806000000000002
93,chromo2097,c1ccc(-n2c3ccccc3c3cc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc32)cc1,1,3.9656,0.8020999999999998
94,chromo3258,CC1=[N+]2C(=c3c4c5ccccc5cc5cccc(c6cc(C)n(c36)[B-]2(F)F)c54)C=C1,0,2.0127,1.0535
95,chromo5918,COc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)nn2C)cc1,1,4.5021,1.3760000000000003
96,chromo6240,CCC(CC)COC1=CC2=C3c4cc(OCC(CC)CC)c(-c5cccs5)n4[B-](F)(F)[n+]4nnn(c43)[B-](F)(F)[N+]2=C1c1cccs1,0,1.9581,1.3689
97,chromo4995,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccccc1-c1nc(-c2ccccc2-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)nc(-c2ccccc2P(=O)(c2ccccc2)c2ccccc2)n1,1,2.5931,0.0571000000000001
98,chromo1531,CCCCCCCCCCCCN1C(=O)c2c(c3ccc4cc(-c5cccs5)c(OC)cc4c3c3c2ccc2cc(-c4cccs4)c(OC)cc23)C1=O,0,2.5024,0.6144000000000003
99,chromo4580,c1cncc(-c2ccc(-c3c4ccc(-c5cccnc5)cc4c(-c4ccc(-c5cccnc5)cc4)c4ccc(-c5cccnc5)cc34)cc2)c1,1,2.9221,1.2702
100,chromo0932,C[Si](C)(C)[Si](c1cc2sc3cc([Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)sc3c2s1)([Si](C)(C)C)[Si](C)(C)C,0,3.6635,1.2382
101,chromo6370,Clc1ccc(N2c3sc4ccccc4c3Sc3c2sc2ccccc32)cc1,0,3.0028,0.6171000000000002
102,chromo6238,CCC(CC)COC1=CC2=C3c4cc(OCC(CC)CC)c(-c5ccccc5)n4[B-](F)(F)[n+]4nnn(c43)[B-](F)(F)[N+]2=C1c1ccccc1,0,2.1322,1.3738
103,chromo2481,COC(=O)c1nc2c(OCc3ccccc3)nc(N)nc2n1Cc1ccccc1,0,4.0226,1.1512999999999995
104,chromo6272,COc1ccc(C#Cc2c3cc4ccccc4cc3c(C#Cc3ccc(OC)cc3)c3cc4ccccc4cc23)cc1,0,1.5899,1.2695
105,chromo1132,CC1=CC(C)=[N+]2C1=Cc1c(C)c(C3=C(C)C4=Cc5c(C)cc(C)n5[B-](F)(F)[N+]4=C3C)c(C)n1[B-]2(F)F,1,2.4387,0.9951
106,chromo3868,CSc1nccc(C=Cc2ccc(N(c3ccccc3)c3ccc(C=Cc4ccnc(SC)n4)cc3)cc2)n1,0,2.7139,0.7155000000000002
107,chromo1143,O=C1C2=C(O[B-](F)(F)[n+]3c2ccc2ccccc23)c2cccc3c(N4CCOCC4)ccc1c23,0,2.8683,0.8443
108,chromo0720,CN(C)c1ccc2cc3c(cc2c1)OCCN=C3,0,3.5637,1.1563999999999997
109,chromo2442,COC(=O)c1cc(=O)n(Cc2ccccc2)c2cc(-c3ccc(N(C)C)cc3)sc12,1,2.8084,0.9675999999999998
110,chromo4170,CCN1c2ccc(C=NNc3ccccn3)cc2Sc2cc(-c3cccc4ccccc34)ccc21,0,3.2079,0.9684
111,chromo4824,COc1ccc2cc(-c3cc(-c4ccccc4)c4n3[B-](F)(F)[N+]3=C5C=NC=CN5[B-](F)(F)[N+]3=C4)ccc2c1,0,2.4969,0.6861000000000002
112,chromo2215,Cc1ccccc1[B-]1(c2ccccc2C)n2nc(C(F)(F)F)cc2-c2c3ccccc3cc[n+]21,0,2.6739,0.2810000000000001
113,chromo1189,COc1ccc(C#Cc2ccc(C#N)cc2)cc1OC,1,3.4364,1.088
114,chromo5470,COc1ccc(C2=C(c3ccc(OC)cc3)c3cccc4c5c(cc(c34)O2)=NC2C=C(Br)C(Br)=CC2N=5)cc1,0,2.3496,0.8726
115,chromo1789,CCCCC(CC)COc1ccc2nc(-c3ccc(-c4c(C)noc4C)s3)sc2c1,1,3.342,1.1719
116,chromo5980,c1cc2c([nH]c3c4[nH]c5sccc5c4c4nsnc4c23)s1,0,2.9294,0.7183999999999999
117,chromo0248,F[B-]1(F)OC(C#Cc2ccccc2)=C2CCc3ccccc3C2=[O+]1,0,3.2163,1.0789999999999995
118,chromo0299,[O-][n+]1c(C=Cc2ccccc2)nc(N2CCOCC2)c2c1CCCC2,0,2.9943,1.2343
119,chromo3454,CCOC(=O)c1c(-c2c(Cl)c3cc(C)ccc3oc2=O)nn(-c2ccccc2)c1C(=O)OCC,1,3.8089,1.1612
120,chromo5373,Cc1ccc(N(c2ccccc2)c2ccc3ccc4c(N(c5ccccc5)c5ccc(C)cc5)ccc5ccc2c3c54)cc1,1,2.6864,0.8235999999999999
121,chromo5512,CC(C)[Si]1(C(C)C)c2cc(C=O)ccc2-c2ccc(N(C)C)cc21,0,3.2485,0.8895
