,molecule_id,SMILES,vs1,vdelta,vs1_xtb,vdelta_xtb,xtb_coordinates_path,mmff_coordinates_path,basic_coordinates_path
19,chromo3066,CC1=NC(=Cc2ccc(N(C)C)cc2)C(=O)N1C,3.2763,1.4896,3.2611,1.3382999999999998,/scratch/jaggbow/mol_xtb_coordinates/chromo3066/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3066/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3066/basic.xyz
20,chromo3143,CC1CCC(=CSC=Cc2ccc(-c3ccc(C=CSC=C4CCC(C)CC4)cc3)cc2)CC1,3.3328,1.0417,3.815,0.7656000000000001,/scratch/jaggbow/mol_xtb_coordinates/chromo3143/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3143/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3143/basic.xyz
21,chromo2274,CCCCn1c2ccc(C#N)cc2c2cc(C#N)ccc21,3.9341,0.8592999999999997,3.8928,0.3637999999999999,/scratch/jaggbow/mol_xtb_coordinates/chromo2274/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2274/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2274/basic.xyz
22,chromo4686,Cc1ccc2nc3cc4c(cc3c(-c3ccccc3)c2c1)[Si](C)(C)O[Si](C)(C)O[Si]4(C)C,3.2027,1.3161,3.3656,0.8825000000000003,/scratch/jaggbow/mol_xtb_coordinates/chromo4686/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4686/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4686/basic.xyz
23,chromo5342,CC(C)(C)NC(=O)c1ccc(-c2cc3ccccc3s2)c2ccc3c4ccccc4c4ccccc4c3c12,3.2333,1.0492999999999997,3.5071,0.7054999999999998,/scratch/jaggbow/mol_xtb_coordinates/chromo5342/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5342/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5342/basic.xyz
24,chromo5561,Cc1cc(C)n2c1C=C1c3ccccc3C(c3ccc[nH]3)=[N+]1[B-]2(F)F,2.4767,1.302,2.6585,1.3171000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo5561/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5561/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5561/basic.xyz
25,chromo2214,Cc1ccc([B-]2(c3ccc(C)cc3)n3nc(C(F)(F)F)cc3-c3c4ccccc4cc[n+]32)cc1,2.7902,0.3904000000000001,3.6391,0.8729,/scratch/jaggbow/mol_xtb_coordinates/chromo2214/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2214/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2214/basic.xyz
26,chromo3404,CC(=O)c1nc(-c2ccc(N(C)C)cc2)oc1C,3.7982,1.04,4.0156,0.9841000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo3404/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3404/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3404/basic.xyz
27,chromo5074,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c7ccccc7n7c8ccccc8c(c54)c67)cc3)n2)cc1,2.8045,0.1901000000000001,3.6169,0.3716999999999997,/scratch/jaggbow/mol_xtb_coordinates/chromo5074/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5074/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5074/basic.xyz
28,chromo5621,COc1cccc(-c2c3ccccc3c3n2[B-](F)(F)[N+]2=Cc4c5ccccc5c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]2=C3)c1,2.4367,0.9059,2.5448,1.0016,/scratch/jaggbow/mol_xtb_coordinates/chromo5621/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5621/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5621/basic.xyz
29,chromo5765,N#Cc1c(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cccs2)cc1N1CCCCC1,2.8076,0.8041,3.0091,0.4340000000000001,/scratch/jaggbow/mol_xtb_coordinates/chromo5765/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5765/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo5765/basic.xyz
30,chromo0539,COc1ccc(-c2csc(C(C#N)=NNc3ccc(C#N)cc3)n2)cc1,2.8581,0.8724999999999998,3.3848,1.0778,/scratch/jaggbow/mol_xtb_coordinates/chromo0539/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0539/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0539/basic.xyz
31,chromo0411,O=[N+]([O-])c1ccc(-c2nc(C=Cc3ccccc3)c(C=Cc3ccccc3)[nH]2)cc1,2.376,0.6968999999999999,3.2045,0.8338000000000001,/scratch/jaggbow/mol_xtb_coordinates/chromo0411/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0411/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0411/basic.xyz
32,chromo3731,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(SC)n3)ccc21,3.1357,0.5983999999999998,3.8828,0.4729000000000001,/scratch/jaggbow/mol_xtb_coordinates/chromo3731/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3731/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3731/basic.xyz
33,chromo3109,Cc1cc2c3ccccc3oc2c2[nH]c3ccccc3c12,3.8129,0.8300999999999998,3.8111,0.4975,/scratch/jaggbow/mol_xtb_coordinates/chromo3109/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3109/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3109/basic.xyz
34,chromo1093,COc1ccc(C#Cc2c3ccccc3c3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,2.3715,1.2872,2.7072,1.3142999999999998,/scratch/jaggbow/mol_xtb_coordinates/chromo1093/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1093/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1093/basic.xyz
35,chromo2226,c1ccc2c(-c3ccc4sc5ccccc5c4c3)c3ccccc3cc2c1,3.1891,1.4249999999999998,3.4028,1.0941,/scratch/jaggbow/mol_xtb_coordinates/chromo2226/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2226/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2226/basic.xyz
36,chromo2445,CCN(CC)c1ccc(-c2cc3c(s2)c(C(=O)OC)cc(=O)n3C)cc1,2.7947,0.9812000000000004,3.0629,0.9716,/scratch/jaggbow/mol_xtb_coordinates/chromo2445/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2445/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2445/basic.xyz
37,chromo0499,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C1C(c2ccccc2)CC(O)(c2ccccn2)CC1(O)c1ccccn1,3.3336,0.8138000000000001,3.5973,0.5214000000000003,/scratch/jaggbow/mol_xtb_coordinates/chromo0499/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0499/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0499/basic.xyz
38,chromo4207,Cc1cccc(C)c1N1C(c2ccccc2)=Cc2ccc3ccccc3[n+]2[B-]1(F)F,3.1038,0.9934000000000004,2.8714,0.8725,/scratch/jaggbow/mol_xtb_coordinates/chromo4207/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4207/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4207/basic.xyz
39,chromo2534,CN(C)c1ccc(C2=Nc3scc[n+]3[B-](F)(F)O2)cc1,3.41,0.8997000000000002,3.5037,0.9225,/scratch/jaggbow/mol_xtb_coordinates/chromo2534/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2534/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2534/basic.xyz
40,chromo6109,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3ccccc3nc12)(C(C)C)C(C)C,1.9785,1.1225,2.2205,0.8608,/scratch/jaggbow/mol_xtb_coordinates/chromo6109/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6109/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6109/basic.xyz
41,chromo4067,COc1cc(OC)cc(-c2nnc(-c3cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)c3)o2)c1,3.5467,0.9627,4.1768,0.7048999999999999,/scratch/jaggbow/mol_xtb_coordinates/chromo4067/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4067/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4067/basic.xyz
42,chromo2367,CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1,3.2696,0.8121,3.3961,0.8082000000000003,/scratch/jaggbow/mol_xtb_coordinates/chromo2367/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2367/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2367/basic.xyz
43,chromo3072,CN(C)c1cc(-c2ccccc2)cc2ccccc12,3.7324,1.2202000000000002,3.6765,0.7799999999999998,/scratch/jaggbow/mol_xtb_coordinates/chromo3072/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3072/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3072/basic.xyz
44,chromo4629,O=C(NCc1ccccc1)c1sc(-c2ccc(-c3cc(C4CC4)c(C(=O)NCc4ccccc4)s3)s2)cc1C1CC1,2.9857,1.1684,3.1971,0.9362,/scratch/jaggbow/mol_xtb_coordinates/chromo4629/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4629/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4629/basic.xyz
45,chromo6345,COC(=O)c1[nH]c(-c2ccccc2)c2nnc3c4ccccc4oc3c12,3.1826,1.2253999999999998,3.1564,0.9902000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo6345/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6345/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6345/basic.xyz
46,chromo0996,Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(C#Cc4ccccc4)ccc32)cc1,2.2191,1.0468000000000002,2.583,1.0954000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo0996/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0996/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0996/basic.xyz
47,chromo0501,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C1C(c2ccc(F)cc2)CC(O)(c2ccccn2)CC1(O)c1ccccn1,3.1883,0.706,3.4308,0.6316000000000002,/scratch/jaggbow/mol_xtb_coordinates/chromo0501/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0501/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0501/basic.xyz
