,molecule_id,SMILES,vs1_gt,vdelta_gt,vs1_xtb_gt,vdelta_xtb_gt,xtb_coordinates_path,mmff_coordinates_path,basic_coordinates_path,target_core,vs1,vdelta,vs1_xtb,vdelta_xtb,vs1_labeling,vdelta_labeling
13,chromo2136,S=P1(c2ccccc2)c2cccc3ccc4ccc1n4c23,3.1246,0.7883,3.5993978430888043,0.6518998349545965,/scratch/jaggbow/mol_xtb_coordinates/chromo2136/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2136/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2136/basic.xyz,0,,,,,,
14,chromo2235,O=S(=O)(c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1)c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1,3.1339,0.5748000000000002,3.3583588275617826,0.2887947924358667,/scratch/jaggbow/mol_xtb_coordinates/chromo2235/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2235/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2235/basic.xyz,1,,,,,,
15,chromo4021,CCCN1c2ccccc2Sc2cc(C#CC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)ccc21,2.2617,0.8037999999999998,4.340496653345852,1.2697607969260676,/scratch/jaggbow/mol_xtb_coordinates/chromo4021/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4021/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4021/basic.xyz,0,,,,,,
16,chromo0800,CC1(C)c2ccccc2-c2sc3ccccc3c21,3.9592,1.4173,5.543020712191081,1.364647422776483,/scratch/jaggbow/mol_xtb_coordinates/chromo0800/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0800/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo0800/basic.xyz,0,,,,,,
17,chromo6534,CN(C)c1ccc(-c2nc3nc4ccccc4nc3n2-c2ccccc2)cc1,3.224,0.8769,1.963026008652979,0.09635224500233852,/scratch/jaggbow/mol_xtb_coordinates/chromo6534/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6534/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo6534/basic.xyz,0,,,,,,
18,chromo1152,O=C1c2cc3ccccc3cc2C2=Nc3ccc4ccccc4[n+]3[B-](F)(F)N12,3.1924,0.7385000000000002,2.9208510864737867,0.5871757871355066,/scratch/jaggbow/mol_xtb_coordinates/chromo1152/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1152/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo1152/basic.xyz,0,,,,,,
19,chromo3066,CC1=NC(=Cc2ccc(N(C)C)cc2)C(=O)N1C,3.2763,1.4896,4.348989457045402,1.6076836807370423,/scratch/jaggbow/mol_xtb_coordinates/chromo3066/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3066/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3066/basic.xyz,0,,,,,,
20,chromo3143,CC1CCC(=CSC=Cc2ccc(-c3ccc(C=CSC=C4CCC(C)CC4)cc3)cc2)CC1,3.3328,1.0417,2.736729863938551,0.4985982598875924,/scratch/jaggbow/mol_xtb_coordinates/chromo3143/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3143/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo3143/basic.xyz,0,,,,,,
21,chromo2274,CCCCn1c2ccc(C#N)cc2c2cc(C#N)ccc21,3.9341,0.8592999999999997,1.5268526875561683,-0.22205694652010377,/scratch/jaggbow/mol_xtb_coordinates/chromo2274/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2274/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo2274/basic.xyz,1,,,,,,
22,chromo4686,Cc1ccc2nc3cc4c(cc3c(-c3ccccc3)c2c1)[Si](C)(C)O[Si](C)(C)O[Si]4(C)C,3.2027,1.3161,5.256168079831525,1.35064332534498,/scratch/jaggbow/mol_xtb_coordinates/chromo4686/geom.xtbopt.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4686/mmff.xyz,/scratch/jaggbow/mol_xtb_coordinates/chromo4686/basic.xyz,0,,,,,,
